,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Data
157,namibe,-15.2,12.15,78.8,89.0,40.0,3.53,AO,1619163197
158,byron bay,-28.65,153.62,66.2,59.0,0.0,5.75,AU,1619163198
159,tura,25.52,90.22,92.98,20.0,0.0,7.92,IN,1619163198
160,mogadishu,2.04,45.34,87.8,62.0,40.0,4.61,SO,1619163199
161,puerto ayora,-0.74,-90.35,75.99,95.0,83.0,2.68,EC,1619163200
162,dalvik,65.97,-18.53,35.6,100.0,0.0,1.14,IS,1619163200
163,japura,-0.32,102.35,87.93,60.0,97.0,2.66,ID,1619163201
164,ballina,-28.87,153.57,66.2,59.0,0.0,5.75,AU,1619163201
165,avera,33.19,-82.53,39.99,100.0,1.0,2.91,US,1619163202
166,nishihara,26.18,127.76,69.8,88.0,90.0,24.16,JP,1619163202
167,solhan,38.96,41.03,62.6,34.0,0.0,2.3,TR,1619163203
168,libenge,3.65,18.63,73.15,93.0,100.0,1.7,CD,1619163204
169,pacific grove,36.62,-121.92,52.0,76.0,90.0,5.75,US,1619163075
170,los llanos de aridane,28.66,-17.92,64.4,82.0,20.0,5.75,ES,1619163205
171,bredasdorp,-34.53,20.04,55.4,100.0,4.0,5.75,ZA,1619163205
172,kuroishi,40.64,140.59,60.8,27.0,0.0,6.91,JP,1619163206
173,isangel,-19.55,169.27,84.2,74.0,20.0,8.79,VU,1619163206
174,sakakah,29.97,40.21,86.0,9.0,40.0,10.36,SA,1619163207
175,zhigansk,66.77,123.37,26.83,76.0,97.0,3.02,RU,1619163207
176,grand gaube,-20.01,57.66,82.99,72.0,99.0,8.01,MU,1619163208
177,medina del campo,41.31,-4.91,50.0,93.0,0.0,6.91,ES,1619163209
178,saint-philippe,-21.36,55.77,78.8,78.0,75.0,21.85,RE,1619163209
179,miquelon,47.1,-56.38,36.68,74.0,7.0,29.53,PM,1619163210
180,ancud,-41.87,-73.82,44.01,100.0,20.0,6.24,CL,1619163211
181,zaltan,32.95,11.87,66.27,75.0,100.0,16.15,LY,1619163003
182,coahuayana,18.73,-103.68,71.42,42.0,100.0,4.09,MX,1619163214
183,coquimbo,-29.95,-71.34,59.0,82.0,90.0,8.05,CL,1619163065
184,kahramanmaras,38.0,37.0,68.0,42.0,0.0,6.91,TR,1619163214
185,hithadhoo,-0.6,73.08,83.32,71.0,31.0,6.64,MV,1619163215
186,lyuban,52.8,28.0,44.91,53.0,34.0,14.45,BY,1619163216
187,marawi,8.0,124.29,81.0,87.0,85.0,11.99,PH,1619163216
188,hobart,-42.88,147.33,55.4,50.0,40.0,6.91,AU,1619163217
189,dickinson,29.46,-95.05,70.0,88.0,90.0,10.36,US,1619163217
190,kostino,58.91,53.27,45.52,76.0,100.0,6.49,RU,1619163218
191,kirakira,-10.45,161.92,80.62,81.0,100.0,6.64,SB,1619163218
192,weihe,33.0,105.32,58.53,95.0,100.0,3.6,CN,1619163219
193,sazonovo,59.09,35.23,39.94,95.0,100.0,3.31,RU,1619163219
194,puerto carreno,6.19,-67.49,80.55,62.0,76.0,6.11,CO,1619163220
195,port lincoln,-34.73,135.87,61.45,62.0,100.0,11.16,AU,1619163221
196,labuhan,-6.88,112.21,86.63,55.0,20.0,1.43,ID,1619163221
197,tambo,-14.8,-73.92,32.83,82.0,2.0,3.36,PE,1619163222
198,kisangani,0.52,25.2,73.45,92.0,100.0,2.35,CD,1619163222
199,skeldon,5.88,-57.13,73.98,94.0,67.0,4.61,GY,1619163223
200,chokurdakh,70.63,147.92,3.52,95.0,14.0,3.89,RU,1619163223
201,port hedland,-20.32,118.57,89.6,29.0,0.0,13.8,AU,1619163224
202,clyde river,70.47,-68.59,8.6,85.0,20.0,3.44,CA,1619163224
203,kloulklubed,7.04,134.26,86.0,100.0,75.0,6.91,PW,1619163225
204,ryotsu,38.08,138.43,55.4,76.0,0.0,14.97,JP,1619163226
205,nata,8.33,-80.52,75.99,56.0,100.0,6.15,PA,1619163226
206,taoudenni,22.68,-3.98,88.83,8.0,0.0,8.21,ML,1619163227
207,pell city,33.59,-86.29,44.01,93.0,20.0,1.43,US,1619163227
208,padang,-0.95,100.35,87.8,62.0,40.0,6.91,ID,1619163228
209,mount gambier,-37.83,140.77,57.2,72.0,90.0,6.91,AU,1619163228
210,manavgat,36.79,31.44,69.8,49.0,0.0,3.44,TR,1619163229
211,sinop,41.77,34.87,57.2,72.0,0.0,19.57,TR,1619163229
212,bambous virieux,-20.34,57.76,82.99,83.0,75.0,5.75,MU,1619163230
213,snezhnogorsk,69.19,33.25,35.6,69.0,75.0,8.95,RU,1619163231
214,lardos,36.09,28.02,66.2,63.0,0.0,3.44,GR,1619163231
215,boa vista,2.82,-60.67,77.0,83.0,0.0,9.22,BR,1619163232
216,tatishchevo,51.67,45.6,56.05,64.0,100.0,9.84,RU,1619163232
217,la primavera,5.49,-70.41,80.78,58.0,26.0,3.94,CO,1619163233
218,longyearbyen,78.22,15.64,17.6,62.0,75.0,5.75,SJ,1619163233
219,constitucion,-35.33,-72.42,52.74,85.0,59.0,6.29,CL,1619163234
220,biograd na moru,43.94,15.45,63.0,82.0,20.0,4.61,HR,1619163234
221,marystown,47.17,-55.15,34.99,75.0,8.0,17.49,CA,1619163235
222,narsaq,60.92,-46.05,37.4,65.0,75.0,2.3,GL,1619163235
223,nhulunbuy,-12.23,136.77,86.0,62.0,90.0,17.27,AU,1619163236
224,trelew,-43.25,-65.31,54.27,83.0,64.0,7.83,AR,1619163237
225,portobelo,9.55,-79.65,77.0,83.0,100.0,11.61,PA,1619163237
226,point fortin,10.18,-61.68,75.99,93.0,1.0,11.65,TT,1619163238
227,saint-joseph,-21.37,55.62,78.8,78.0,75.0,21.85,RE,1619163238
228,yar-sale,66.83,70.83,34.88,100.0,95.0,15.14,RU,1619163239
229,ponta do sol,32.67,-17.1,61.0,81.0,25.0,5.01,PT,1619163239
230,oranjemund,-28.55,16.43,67.12,66.0,0.0,8.03,NA,1619163240
231,severo-kurilsk,50.68,156.12,34.75,92.0,100.0,1.03,RU,1619163240
232,tomatlan,19.93,-105.25,68.56,72.0,98.0,1.74,MX,1619163243
233,ozu,33.5,132.55,70.0,55.0,75.0,6.91,JP,1619163243
234,nevelsk,46.67,141.86,44.6,70.0,99.0,8.95,RU,1619163244
235,paredon,16.03,-93.87,80.69,78.0,100.0,3.83,MX,1619163245
236,saskylakh,71.92,114.08,15.48,85.0,100.0,4.18,RU,1619163245
237,raga,8.46,25.68,89.91,38.0,94.0,6.49,SS,1619163246
238,noboribetsu,42.45,141.17,66.2,24.0,20.0,13.8,JP,1619163247
239,beloha,-25.17,45.05,84.81,41.0,9.0,10.87,MG,1619163247
240,guerrero negro,27.98,-114.06,57.99,79.0,10.0,14.63,MX,1619163248
241,leningradskiy,69.38,178.42,20.16,89.0,46.0,5.26,RU,1619163248
242,karratha,-20.74,116.85,87.85,25.0,2.0,12.71,AU,1619163249
243,tevaitoa,-16.78,-151.5,80.17,77.0,27.0,15.23,PF,1619163249
244,esperance,-33.87,121.9,68.0,60.0,75.0,10.36,AU,1619163250
245,luderitz,-26.65,15.16,72.01,57.0,10.0,9.8,NA,1619163251
246,tabas,33.6,56.92,91.24,13.0,4.0,3.22,IR,1619163252
247,cap malheureux,-19.98,57.61,82.0,72.0,99.0,11.01,MU,1619163252
248,lompoc,34.64,-120.46,51.8,76.0,91.0,3.44,US,1619163172
249,predivinsk,57.07,93.44,43.3,53.0,6.0,7.36,RU,1619163253
250,svetlogorsk,52.63,29.73,45.77,55.0,100.0,11.72,BY,1619163254
251,remedios,22.49,-79.55,75.2,46.0,20.0,5.75,CU,1619163254
252,katsuura,35.13,140.3,66.99,39.0,10.0,5.99,JP,1619163255
253,batticaloa,7.71,81.69,86.54,65.0,18.0,8.12,LK,1619163255
254,menongue,-14.66,17.69,73.18,43.0,91.0,9.84,AO,1619163256
255,selma,36.57,-119.61,59.0,58.0,1.0,9.22,US,1619163257
256,lebu,-37.62,-73.65,49.93,78.0,2.0,2.86,CL,1619163257
257,codrington,-38.27,141.97,56.32,73.0,100.0,9.84,AU,1619163258
258,broome,42.25,-75.83,28.99,69.0,1.0,10.36,US,1619163258
259,hasaki,35.73,140.83,64.0,47.0,0.0,13.8,JP,1619163259
260,saint-pierre,-21.34,55.48,78.8,78.0,75.0,21.85,RE,1619163259
261,victoria,22.29,114.16,87.8,58.0,20.0,14.97,HK,1619163064
262,airai,-8.93,125.41,66.78,79.0,80.0,2.15,TL,1619163260
263,laguna,38.42,-121.42,51.01,81.0,1.0,9.22,US,1619163122
264,pathein,16.78,94.73,94.77,42.0,93.0,16.22,MM,1619163261
265,asosa,10.07,34.53,83.41,32.0,82.0,1.23,ET,1619163262
266,khingansk,49.12,131.18,49.64,42.0,63.0,11.95,RU,1619163262
267,astoria,46.19,-123.83,48.2,71.0,90.0,3.44,US,1619162985
268,nanga eboko,4.68,12.37,79.43,66.0,76.0,1.48,CM,1619163263
269,arroyo,41.61,-4.8,50.0,93.0,0.0,6.91,ES,1619163264
270,cuamba,-14.8,36.54,75.18,68.0,22.0,2.46,MZ,1619163264
271,hudiksvall,61.73,17.1,44.01,43.0,3.0,5.01,SE,1619163265
272,kumluca,36.37,30.29,71.83,46.0,49.0,5.03,TR,1619163265
273,gorontalo,0.54,123.06,85.71,68.0,38.0,3.6,ID,1619163266
